rownames(TME)	B_cells_naive_CIBERSORT	Plasma_cells_CIBERSORT	T_cells_CD8_CIBERSORT	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_activated_CIBERSORT	T_cells_follicular_helper_CIBERSORT	T_cells_regulatory_.Tregs._CIBERSORT	NK_cells_resting_CIBERSORT	NK_cells_activated_CIBERSORT	Monocytes_CIBERSORT	Macrophages_M0_CIBERSORT	Macrophages_M1_CIBERSORT	Macrophages_M2_CIBERSORT	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_activated_CIBERSORT	Mast_cells_resting_CIBERSORT	Mast_cells_activated_CIBERSORT	Neutrophils_CIBERSORT
TCGA.A2.A3XS.01A	TCGA.A2.A3XS.01A	0.11987879807275	0.0450457041953477	0.0924338377304588	0.196402010916656	0	0.04060892413547	0.0992914939335606	0	0.0453557134936835	0.0111537386545926	0.0688170839482264	0.0849991667464123	0.126903643408815	0	0.0152852192192126	0.0538246655448146	0	0
TCGA.E9.A3Q9.01A	TCGA.E9.A3Q9.01A	0	0.161448619107417	0.0294912847033579	0.0829521015064041	0	0.00104109492903897	0.00841227153851318	0	0.0616992698895948	0.0854892990169192	0	0.105608950434711	0.324951193401752	0.0100490250277564	0	0.128856890444536	0	0
TCGA.E2.A152.01A	TCGA.E2.A152.01A	0.00161925171952691	0.0913030506599515	0	0.130748285437214	0.00819014867713113	0	0.0274948140054548	0	0.0650445117569911	0	0.356017507924813	0.0190255459888395	0.205569303135888	0	0	0.0949875806941899	0	0
TCGA.15.1444.01A	TCGA.15.1444.01A	0.0335348389519721	0.000271420621757987	0	0.0631654497061588	0	0.00615643614001501	0	0	0.0385215840113952	0.490199493461042	0	0.0238036970487129	0.196646850191765	0	0	0	0.0908141492773906	0.00485638218931647
TCGA.32.2616.01A	TCGA.32.2616.01A	0	0.00601383731613246	0.0261394655233759	0.149551870390112	0	0.0205586260693884	0.0289266153982411	0.0276377073645931	0.0510408637704065	0.0117453559698741	0.391879123823116	0.00125855840683146	0.239966570319633	0	0	0.0149417060536076	0	0.0112831635472181
TCGA.06.0138.01A	TCGA.06.0138.01A	0.00564889146824229	0.00554717941990357	0.0251504291610627	0.0952931201339074	0	0.0166779762842319	0.00349033827830381	0	0.054521177662632	0.0927230283181708	0.231159649057664	0.0121663198132058	0.20887127983986	0	0	0	0.194257086504758	0.0169907911660253
TCGA.CV.7406.01A	TCGA.CV.7406.01A	0.051120708254351	0.0144963858785399	0.0220466733610787	0.0625597430376083	0	0.0225893458856931	0.053839795180483	0.0493532961294146	0	0	0.383536554957873	0	0.185568313272509	0	0.0318982879301367	0	0.119325261701334	0.00366563441097851
TCGA.BB.4223.01A	TCGA.BB.4223.01A	0.0831960505280533	0.0440970449469598	0.251872647480822	0.143913278894434	0.0596211337680131	0	0.0468520218165087	0.0442918775846405	0.0129332349694676	0.0240576852461092	0.0912408690586751	0.0867354362345789	0.0630777078873095	0.0218336038748379	0	0.0262774077095896	0	0
TCGA.HD.7229.01A	TCGA.HD.7229.01A	0.014607255974775	0.0782902826298745	0.0754666593676175	0.262876143668082	0.0389199226930061	0	0	0.0825618260823335	0.00836298085212936	0	0.134052136780756	0.118443855722539	0.0511277047305475	0	0.0847755133051401	0	0.0461630770819385	0.00435264111126086
TCGA.BA.5557.01A	TCGA.BA.5557.01A	0.0295304022231297	0	0.0249673512138043	0.103633180248466	0	0	0.00326526486599353	0.0357859189103778	0	0	0.471822345330665	0.00243082010386686	0.0102795110773452	0	0.0576969984721697	0	0.192715570798722	0.0678726367554589
